no mask,fsharp1,fsharp_final,dash1,dash final
2,1,3,2,2.333
2.4145,1.5019,2.297,2.7069,2.691
1.6095,1.5617,1.594,3.1866,3.302
1.0135,1,1.236,2.0766,2.424
1.6843,1,1.318,3.086,2.349
2,1.4894,2.108,2.2451,3.341
1.8473,2.2559,3.054,2.158,2.065
3.5756,2.111,2.068,2.6871,2
3.2476,1.8561,2.324,2.9887,2.619
2.8776,2,1.732,2.1948,2.97
5.4376,2,2.105,3.0156,2.219
2.7685,2.0605,2.22,1.6316,2.831
3.8857,1.7642,2.867,1.8081,2.585
3.5615,1.0723,3.169,2,2.982
2.5511,1.7859,3.46,1.2995,2.505
3.0204,1.5319,2.556,2.3365,3.231
2.3798,1.4223,1.398,2.6773,2.781
1.769,1.3617,1.872,1.2139,2.027
3.3706,2.0068,2.624,2.4396,2.267
2.8827,2,2.49,2.3719,3
3.5011,1.617,2.503,1.7441,3.041
2.86,1.5884,2.443,2.7554,2.986
3.0667,1.1787,3.118,1.6537,3.187
2.8447,1.0235,3.017,2.8164,2.878
1.8522,1,3.514,2.8554,2.612
3.5748,1.4468,3.207,2.5471,2.706
1.8744,1.3594,3.168,4.4057,3.575
4.3127,1.9082,2.6,1.8878,3.57
4.8089,1.9374,2.354,1.85,2.783
4.4093,2,1.918,1.8509,2.054
4.7755,1.4622,1.382,2.6542,2.727
4.1571,1.1862,1.992,1.9718,2.984
3.2453,1.9872,2.614,2.5336,2.319
3.2559,1.2681,2.823,2.7368,2.08
4.6953,1.3282,1.342,2.0058,3.045
5.1667,2.1702,2.024,2.9709,3.103
3.9551,2.6562,1.464,2.3498,3
5.3593,1.1399,2.3,2.5526,2.879
6.3978,1.5191,2.281,2.4793,3
5.3045,1.9633,1.756,4.1381,3.039
6.9093,1.9348,2.503,2.2916,2.724
5.7953,2.5034,2.407,2.5526,2.534
4.6,1.6894,3.68,1.9685,3.002
6.7333,1.0164,4.449,2.1738,2.828
7.0476,2.1475,3.854,2.1828,2.724
9.0816,2.4043,1.751,2.6994,3.325
12.512,2.8979,1.897,3.9561,5.087
9.5293,2.2,1.609,2.1837,4.753
10.5069,2.7776,1.177,2.3644,5.4
11.5933,3.6126,2.736,2.01,6.867
15.7823,3.0045,2.651,3.2042,7.006
14.4861,2.4085,2,2.6501,9.909
12.5428,2,1.474,3.6172,10.104
17.1785,2,3.186,2.8407,11.071
15.6645,2,2.843,2.2823,13.701
14.1349,2.1295,2.901,2.2078,15.556
13.2667,1.1029,2.766,1.3293,20.792
20.9894,2.5508,1.573,1.6942,24.053
18.9293,2.4901,2.635,3.1403,33.801
23.559,2.8255,2.068,2.6794,39.081
27.7143,2.1086,1.651,2.9596,36.215
21.7946,2.5702,2.361,2.6986,43.184
23.0327,2.3021,2.958,3,47.025
24.64,2.0104,2.157,2.8868,53.071
26.4099,2.0086,1.99,2.0668,64.658
20.4433,2.2694,3.011,4.3576,78.534
17.8139,3.4043,1.155,4.0416,84.053
17.4547,3.0596,1.748,4.3983,90.525
19.4095,1.598,2.257,3.1379,90.274
