no mask,dash first iteration,fsharp first iteration,dash final,fsharp final,
0,1,1,0,0,
0.73544,0.0147,0.3755,2.334,0.6045,
0.12912,0.9748,0.9618,0.545,2.1617,
0.10208,1.4826,0.9711,0.017,0.5999,
0.44632,1.3543,1,0.819,0.8572,
0.30584,0.4129,1.1598,1.355,0.9291,
0,0.0058,2.587,3.026,0.4709,
0.2528,0.9418,1.4661,1.253,0.5031,
0.74016,0.4044,1.5709,0.972,0.0089,
0.68936,2.6998,1.019,1.609,0.2621,
0.10048,1.4661,0.2184,0.634,0.0603,
0.2784,0.3715,0.7287,0.713,0.3519,
1.56576,0,0.9509,1.312,1.5322,
0.11048,0.145,1.0631,0.551,1.863,
0.38104,0.3407,0.7423,0.053,0.7277,
0.02656,1.3314,0.2965,0.444,1.2365,
0.13128,0.4089,1.1071,1.389,2.7468,
0.68728,0,0.6118,0.745,1.2785,
0.7916,0,1.7455,0.453,0.8615,
0.77864,0.2686,0.1533,0.826,0.932,
1.36656,0.6877,0.0318,2.639,0.4592,
1.55792,0.9896,1.5363,0.948,0.4357,
1.15584,0.1786,1.1656,0.02,0.4182,
0.33072,0,1,3.286,1.3069,
1.48496,0.6998,0.2874,0.333,3.8109,
0.59024,0.2587,0.6893,2.435,1,
0.07856,0.6995,1.3678,0.764,0.897,
0.63608,0.5256,0.9287,1.395,0.2034,
0.03936,0.206,0.9847,2.324,1.1255,
0.53272,0.6895,1.1852,0.502,1.0632,
0.71576,1,1.979,0.646,1.275,
1.1984,0.3912,1.6551,1.008,0.891,
1.66112,0.4175,0.9847,1.222,1.6372,
0.91792,0.4309,1.3793,1.311,1.0297,
0.59512,0.1801,1.2337,1.833,1,
0.05168,0.6238,2.2187,1.214,1,
0.03048,0.4543,0.1379,0.625,0.8494,
0.00664,0.4339,1.9722,0.261,0.697,
0.14936,0.494,0.7222,0.917,0.1474,
0.55288,0.7849,0.1522,0.655,0.4541,
0.33688,1.3754,0.7464,1.139,1.7214,
0.04272,0.8846,0.7076,0.191,1,
0.1748,0.4817,1.1395,1.276,1,
1.02176,0.5426,1.4703,0.958,0.3117,
0.87024,0.2862,1.3472,2.465,1.7094,
0.40552,1.3611,1.4828,0.203,0.5665,
0.50832,1.6916,0.9476,0.802,0.6138,
0.932,0.4334,0.9026,2.442,0.9289,
0.54728,0.6057,1.0155,0.333,0.7559,
