No Mask,DASH Mask
2.3333,1
3.4241,2.3359
2.579,2.192
0.8914,1.3179
1.5508,2.5734
1.7312,0.8397
0.9173,2.0864
1.6499,2.5235
3.848,1.4458
3.0006,0.8611
0.8037,0.8752
1.082,1.2481
1.7264,4.4815
2.6518,2.2375
1.3108,1.2977
2.0784,0.2238
2.0058,0.2908
1.0687,0.94
0.687,0.4444
2.4169,2.1878
1.7776,2.5089
1.8353,1.0664
0.5827,3.0926
1.6952,4.4813
0.9989,3.5432
2.72,3.1272
2.5731,6.537
1.1805,12.75
2.7864,33.69
4.3482,56.8448
2.304,54.6543
4.2047,55.1785
4.1457,75.1276
6.1387,83.4321
8.0481,79.1927
11.4448,78.0993
8.9189,79.7778
11.3589,79.2243
9.5558,61.0638
5.728,72.267
9.9067,62.3361
11.9659,49.5129
12.6835,58.3642
11.1338,57.0643
9.119,66.0631
9.0155,55.6528
9.4015,42.5034
8.2518,34.1308
9.7559,34.9506
11.9436,28.5854
8.76,28.4095
5.5506,17.8642
4.4215,7.5775
5.4989,5.1565
3.9708,7.5
6.6773,5.5269
6.4497,4.2236
2.6641,3.3272
3.5955,5.3018
3.0726,3.6058
2.3451,2.0494
2.9922,2.0199
2.5707,2.5583
1.5627,2.9722
0.7118,3.7641
1.0384,3.4019
2.6358,1.7778
2.9798,3.2881
3.0585,12.5898
2.0604,16.5756
3.5248,12.2627
4.8113,25.1938
2.7476,19
2.7296,11.4681
1.9401,6.9184
3.2667,5.5787
4.9818,5.9863
4.1256,8.4907
7.3887,13.3148
3.3051,14.9964
1.5056,13.6008
1.6935,12.375
3.1969,6.3875
2.9958,5.5069
3.2766,6.642
2.7867,4.9539
4.9592,4.9781
4.6891,3.5725
3.9088,3.1948
3.5666,1.6998
4.3579,1.0556
3.8,2.0418
2.3274,3.2222
5.5512,3.5031
1.6207,3.5542
1.4032,3.5305
3.3195,1.8025
3.3307,1.5835
2.8328,1.6509
1.3427,2.1806
0.9067,2.5295
0.9783,1.5235
2.4575,1.6543
1.02,4.2008
0.4865,6.2263
2.9632,2.1188
2.496,2.7743
2.9426,3.5799
2.086,3
0.9994,
0.12,
3.4032,
3.6805,
1.1797,
1.9337,
2.84,
1.6447,
0.7787,
1.856,
1.1649,
0.9867,
1.9895,
1.4408,
1.3233,
1.4777,
1.21E-12,
